alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,10,0.9103559061637397,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,1,30,10,0.9103559061637397,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,2,30,10,0.9103559061637397,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,3,30,10,0.880667119498209,[--SSSS-SS------SSS-S------SS--S-----SS----S--S-----S------SSS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S-S]
ILS,nrp1,4,30,10,0.9057847361396932,[--SSSS-SS------SSS---S-----S--SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,5,30,10,0.9123735098031305,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,6,30,10,0.9102697859735804,[--SSSS-SS------SSS-S------SS--S--S--SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,7,30,10,0.9051960924971941,[--SSSS-SS-S----SSS---------S--S--S---S-S--S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,8,30,10,0.8965763394771964,[--SSSS-S--S------S-S-S--S--S---S-S---S-S--S---S----S----SS-S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,9,30,10,0.8965763394771964,[--SSSS-S--S------S-S-S--S--S---S-S---S-S--S---S----S----SS-S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,10,30,10,0.9015045440076039,[--SSSS-S--------SS-S-S--S--S--SS-----S----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,11,30,10,0.9102697859735804,[--SSSS-SS------SSS-S------SS--S--S--SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,12,30,10,0.9060163452758313,[--SSSS-SS------SSS--------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SS--S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,13,30,10,0.873099228392986,[--SSSS-S-SS-----SS---------SS-S--S---S----S---S----S-------SSSSSSS--S-SS--S--S-S--S-SSSS-SS----S-S--]
ILS,nrp1,14,30,10,0.8577259711592636,[---SSS-SS-S-----SS-S------S---S--S--SS----S--------S------S-S--SSS-SS-SSS-S--S-S--SSSS-S-------S-SSS]
ILS,nrp1,15,30,10,0.8999568464990743,[--SSSS-SS---S--SSS---------S--S--S---S----S--SS----SS------SS-SSSS--S-SS--S-SS-S--S-SS-S-SS----S-S--]
ILS,nrp1,16,30,10,0.9057847361396932,[--SSSS-SS------SSS---S-----S--SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,17,30,10,0.9102697859735804,[--SSSS-SS------SSS-S------SS--S--S--SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,18,30,10,0.8823803695284725,[S-SSSS-S----S---SS---------S--S--S---S-S--SS--S----SS------SS-SSSS--S-SS--S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,19,30,10,0.9057847361396932,[--SSSS-SS------SSS---S-----S--SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,20,30,10,0.9123735098031305,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,21,30,10,0.8982235328930556,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S---S----S-------S--SS-S--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,22,30,10,0.884933935913128,[---SSS-SS-------SS-S----S-S---S-----SS----S---S----S------S-SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S-S]
ILS,nrp1,23,30,10,0.9103559061637397,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,24,30,10,0.9061618342218097,[--SSSS-S--------SS-S----S--S--S--S---S-S--S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,25,30,10,0.8911982923916828,[--SSSS-S--S-S----S-S-S--S--S---S-----S-S--S---S----SS------S-SSS-S--S-S-S-SSSS-S--S-SS-S-SS----S-S--]
ILS,nrp1,26,30,10,0.9103559061637397,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,27,30,10,0.9101903536420061,[--SSSS-SS-------SS-S------SS--S--S--SS----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,28,30,10,0.9068098466201282,[--SSSS-S--S-----SS---S-----S--SS-S---S-S--S---S----S----SS-SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,29,30,10,0.9061618342218097,[--SSSS-S--------SS-S----S--S--S--S---S-S--S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,0,30,10,0.9123735098031305,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
